1.85,27.8,1.0
1.35,26.65,1.0
1.4,23.25,2.0
0.85,23.05,2.0
0.5,22.35,2.0
0.65,21.35,2.0
1.1,22.05,2.0
1.35,22.65,2.0
1.95,22.8,2.0
2.4,22.45,2.0
1.8,22.0,2.0
2.5,21.85,2.0
2.95,21.4,2.0
1.9,21.25,2.0
1.35,21.45,2.0
1.35,20.9,2.0
1.25,20.35,2.0
1.75,20.05,2.0
2.0,20.6,2.0
2.5,21.0,2.0
1.7,19.05,2.0
2.4,20.05,2.0
3.05,20.45,2.0
3.7,20.45,2.0
3.45,19.9,2.0
2.95,19.5,2.0
2.4,19.4,2.0
2.4,18.25,2.0
2.85,18.75,2.0
3.25,19.05,2.0
3.95,19.6,2.0
2.7,17.8,2.0
3.45,18.05,2.0
3.8,18.55,2.0
4.0,19.1,2.0
4.45,19.9,2.0
4.65,19.15,2.0
4.85,18.45,2.0
4.3,18.05,2.0
3.35,17.3,2.0
3.7,16.3,2.0
4.4,16.95,2.0
4.25,17.4,2.0
4.8,17.65,2.0
5.25,18.25,2.0
5.75,18.55,2.0
5.3,19.25,2.0
6.05,19.55,2.0
6.5,18.9,2.0
6.05,18.2,2.0
5.6,17.8,2.0
5.45,17.15,2.0
5.05,16.55,2.0
4.55,16.05,2.0
4.95,15.45,2.0
5.85,14.8,2.0
5.6,15.3,2.0
5.65,16.0,2.0
5.95,16.8,2.0
6.25,16.4,2.0
6.1,17.45,2.0
6.6,17.65,2.0
6.65,18.3,2.0
7.3,18.35,2.0
7.85,18.3,2.0
7.15,17.8,2.0
7.6,17.7,2.0
6.7,17.25,2.0
7.3,17.25,2.0
6.7,16.8,2.0
7.3,16.65,2.0
6.75,16.3,2.0
7.4,16.2,2.0
6.55,15.75,2.0
7.35,15.8,2.0
6.8,14.95,2.0
7.45,15.1,2.0
6.85,14.45,2.0
7.6,14.6,2.0
8.55,14.65,2.0
8.2,15.5,2.0
7.9,16.1,2.0
8.05,16.5,2.0
7.8,17.0,2.0
8.0,17.45,2.0
8.4,18.1,2.0
8.65,17.75,2.0
8.9,17.1,2.0
8.4,17.1,2.0
8.65,16.65,2.0
8.45,16.05,2.0
8.85,15.35,2.0
9.6,15.3,2.0
9.15,16.0,2.0
10.2,16.0,2.0
9.5,16.65,2.0
10.75,16.6,2.0
10.45,17.2,2.0
9.85,17.1,2.0
9.4,17.6,2.0
10.15,17.7,2.0
9.85,18.15,2.0
9.05,18.25,2.0
9.3,18.7,2.0
9.15,19.15,2.0
8.5,18.8,2.0
11.65,17.45,2.0
11.1,17.65,2.0
10.4,18.25,2.0
10.0,18.95,2.0
11.95,18.25,2.0
11.25,18.4,2.0
10.6,18.9,2.0
11.15,19.0,2.0
11.9,18.85,2.0
12.6,18.9,2.0
11.8,19.45,2.0
11.05,19.45,2.0
10.3,19.4,2.0
9.9,19.75,2.0
10.45,20.0,2.0
13.05,19.9,2.0
12.5,19.75,2.0
11.9,20.05,2.0
11.2,20.25,2.0
10.85,20.85,2.0
11.4,21.25,2.0
11.7,20.6,2.0
12.3,20.45,2.0
12.95,20.55,2.0
12.55,20.95,2.0
12.05,21.25,2.0
11.75,22.1,2.0
12.25,21.85,2.0
12.8,21.5,2.0
13.55,21.0,2.0
13.6,21.6,2.0
12.95,22.0,2.0
12.5,22.25,2.0
12.2,22.85,2.0
12.7,23.35,2.0
13.0,22.7,2.0
13.55,22.2,2.0
14.05,22.25,2.0
14.2,23.05,2.0
14.1,23.6,2.0
13.5,22.8,2.0
13.35,23.5,2.0
13.3,24.0,2.0
7.3,19.15,2.0
7.95,19.35,2.0
7.7,20.05,2.0
6.75,19.9,2.0
5.25,20.35,2.0
6.15,20.7,1.0
7.0,20.7,1.0
7.6,21.2,1.0
8.55,20.6,1.0
9.35,20.5,1.0
8.3,21.45,1.0
7.9,21.6,1.0
7.15,21.75,1.0
6.7,21.3,1.0
5.2,21.1,2.0
6.2,21.95,1.0
6.75,22.4,1.0
6.15,22.5,1.0
5.65,22.2,1.0
4.65,22.55,1.0
4.1,23.45,1.0
5.35,22.8,1.0
7.4,22.6,1.0
7.75,22.1,1.0
8.5,22.3,1.0
9.3,22.0,1.0
